place,title,time,pay,date
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",7분전
경기 성남시,노랑통닭 노랑통닭 위례점,15:00~01:00,"월급2,600,000",8분전
경기 성남시,노랑통닭 노랑통닭 위례점,15:00~01:00,"월급2,600,000",9분전
경기 하남시,노랑통닭 미사2호점,17:00~22:00,"시급8,800",12분전
서울 전체,노랑통닭 미사2호점,15:00~01:00,"월급2,400,000",13분전
경기 하남시,노랑통닭 미사2호점,15:00~01:00,"월급2,400,000",13분전
경기 광명시,노랑통닭 철산점,18:00~23:00,"시급9,500",19분전
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",31분전
인천 미추홀,노랑통닭 인천도화점,15:00~02:00,"월급2,600,000",32분전
경기 시흥시,노랑통닭 노랑통닭 시흥대야점,19:00~01:00,"시급9,000",43분전
서울 강남구,노랑통닭 역삼점,15:00~02:00,"월급2,600,000",1시간전
서울 광진구,노랑통닭 구의점,16:00~03:00,"월급2,600,000",1시간전
서울 강남구,노랑통닭 역삼점,18:00~22:00,"시급8,600",1시간전
서울 강남구,노랑통닭 역삼점,18:00~22:00,"시급8,600",1시간전
서울 광진구,노랑통닭 구의점,18:00~23:00,"시급8,600",1시간전
경기 수원시,노랑통닭 성균관대점,17:00~12:00,"시급9,300",1시간전
경기 고양시,노랑통닭 중산점,14:00~01:00,"월급2,500,000",1시간전
경기 안산시,노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",2시간전
경기 안산시,노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",2시간전
경기 안산시,노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",2시간전
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",2시간전
경기 안산시,노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",2시간전
경기 안산시,노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",2시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,600",2시간전
경기 남양주,노랑통닭 별내점,18:00~24:00,"시급8,600",2시간전
서울 강서구,개화산역점,18:00~23:00,"시급8,600",2시간전
서울 강서구,개화산역점,18:00~23:00,"시급8,600",2시간전
광주 광산구,노랑통닭 광주 첨단점,18:00~24:00,"시급8,590",3시간전
경기 광명시,노랑통닭 광명사거리점,18:00~23:00,"시급8,590",3시간전
경기 광명시,노랑통닭 광명사거리점,18:00~23:00,"시급8,590",3시간전
경기 광명시,노랑통닭 광명사거리점,18:00~23:00,"시급8,590",3시간전
경기 광명시,노랑통닭 광명사거리점,18:00~23:00,"시급8,590",3시간전
강원 강릉시,노랑통닭 강릉 입암점,18:00~02:00,"시급8,600",3시간전
경기 광명시,노랑통닭 광명사거리점,18:00~23:00,"시급8,590",3시간전
강원 강릉시,노랑통닭 강릉 입암점,18:00~02:00,"시급8,600",3시간전
강원 강릉시,노랑통닭 강릉 입암점,18:00~02:00,"시급8,600",3시간전
서울 강남구,노랑통닭 양재역점,15:30~02:30,"월급2,500,000",3시간전
서울 서초구,노랑통닭 양재역점,15:30~02:30,"월급2,500,000",3시간전
서울 은평구,노랑통닭 은평 뉴타운점,15:00~02:00,"월급2,600,000",4시간전
서울 노원구,노랑통닭 공릉점,15:00~02:00,"월급2,700,000",4시간전
서울 은평구,노랑통닭 은평 뉴타운점,15:00~02:00,"월급2,600,000",4시간전
서울 노원구,노랑통닭 공릉점,15:00~02:00,"월급2,700,000",4시간전
서울 노원구,노랑통닭 공릉점,15:00~02:00,"월급2,700,000",4시간전
서울 노원구,노랑통닭 공릉점,15:00~02:00,"월급2,700,000",4시간전
서울 은평구,노랑통닭 은평 뉴타운점,15:00~02:00,"월급2,600,000",4시간전
서울 성동구,노랑통닭 성수점,14:00~01:30,"월급2,600,000",4시간전
서울 중랑구,노랑통닭 공릉점,15:00~02:00,"월급2,700,000",4시간전
경기 수원시,노랑통닭 망포점,18:00~24:00,"시급9,000",4시간전
서울 용산구,노랑통닭 용산점,16:00~02:00,"월급2,400,000",4시간전
경기 수원시,노랑통닭 수원정자점,17:00~23:00,"시급10,000",5시간전
