place,title,time,pay,date
부산 부산진,생각대로 진구24시점,11:00~01:00,"건별3,000",2분전
경기 고양시,생각대로 생각대로 화정점,10:00~02:00,"일급150,000",4분전
서울 도봉구,생각대로 도봉2점,10:00~24:00,"연봉50,000,000",5분전
경기 안양시,생각대로 범계점,10:30~02:00,"건별3,300",5분전
경기 안양시,생각대로 범계점,10:30~02:00,"건별3,300",5분전
경기 안양시,생각대로 범계점,10:30~02:00,"건별3,300",5분전
서울 도봉구,생각대로 도봉2점,10:00~02:00,"월급4,500,000",6분전
서울 도봉구,생각대로 도봉2점,10:00~24:00,"일급200,000",7분전
광주 광산구,생각대로 광산지사,09:00~03:00,"일급200,000",15분전
광주 광산구,생각대로 광산지사,09:00~03:00,"일급200,000",15분전
광주 광산구,생각대로 광산지사,09:00~03:00,"일급200,000",15분전
광주 광산구,생각대로 광산1지점,09:00~03:00,"일급200,000",16분전
광주 광산구,생각대로 광산1지점,09:00~03:00,"일급200,000",16분전
광주 광산구,생각대로 광산1지점,09:00~03:00,"일급200,000",16분전
서울 송파구,생각대로 잠실지점,10:00~24:00,"건별4,000",22분전
서울 송파구,생각대로 잠실지점,10:00~03:00,"건별4,000",23분전
서울 송파구,생각대로 잠실지점,10:00~03:00,"건별4,000",23분전
대구 달성군,생각대로 제이에스JS,09:00~02:00,"건별3,300",25분전
대구 달성군,생각대로 제이에스JS,09:00~02:00,"건별3,300",25분전
경기 안산시,생각대로 안산시흥지사,09:00~02:00,"일급150,000",27분전
경기 시흥시,생각대로 안산시흥지사,09:00~02:00,"일급150,000",28분전
경기 안산시,생각대로 안산시흥지사,09:00~02:00,"일급150,000",28분전
인천 남동구,생각대로 구월중앙지사,08:00~04:30,"일급250,000",29분전
광주 광산구,생각대로 광산2지점,09:00~03:00,"일급200,000",33분전
광주 광산구,생각대로 광산2지점,09:00~03:00,"일급200,000",33분전
광주 광산구,생각대로 광산2지점,09:00~03:00,"일급200,000",33분전
부산 사상구,생각대로 생각대로 사상구2호점,10:00~04:30,"건별3,000",37분전
부산 사상구,생각대로 생각대로 사상구2호점,10:00~04:30,"건별3,000",37분전
부산 사상구,생각대로 생각대로 사상구2호점,10:00~04:30,"건별3,000",38분전
부산 사상구,생각대로 괘법3호점,10:00~04:30,"건별3,000",38분전
부산 사상구,생각대로 괘법3호점,10:00~04:30,"건별3,000",39분전
부산 사상구,생각대로 괘법3호점,10:00~04:30,"건별3,000",39분전
인천 남동구,생각대로 구월중앙지사,시간협의,"일급200,000",39분전
충남 아산시,생각대로 신창TFC,시간협의,"건별3,300",39분전
서울 서대문,생각대로 신촌이대지사,10:00~24:00,"일급300,000",43분전
서울 마포구,생각대로 신촌이대지사,10:00~24:00,"일급300,000",43분전
서울 마포구,생각대로 신촌이대지사,10:00~24:00,"일급300,000",44분전
부산 수영구,생각대로 수영구2호점,10:00~03:00,"시급15,000",46분전
부산 수영구,생각대로 수영구2호점,10:00~03:00,"건별3,000",46분전
부산 수영구,생각대로 수영구2호점,10:00~03:00,"건별3,000",46분전
부산 기장군,생각대로 준혁기장점,11:00~02:00,"건별3,000",47분전
부산 기장군,생각대로 준혁기장점,10:00~02:00,"건별3,000",47분전
부산 기장군,생각대로 준혁기장점,10:00~02:00,"건별3,000",47분전
부산 금정구,생각대로 금정7호점,10:00~02:00,"건별3,000",47분전
부산 금정구,생각대로 금정7호점,10:00~02:00,"건별3,000",47분전
부산 사상구,생각대로 사상구4호점,10:00~02:00,"건별3,300",47분전
부산 사상구,생각대로 사상구4호점,10:00~02:00,"건별3,300",47분전
부산 사상구,생각대로 사상구4호점,10:00~02:00,"건별3,300",47분전
부산 북구,생각대로 화명3호점,10:00~02:00,"건별3,000",47분전
부산 북구,생각대로 화명3호점,10:00~02:00,"건별3,000",47분전
부산 북구,생각대로 화명3호점,10:00~02:00,"건별3,000",47분전
부산 남구,생각대로 불곰대연2호점,10:00~02:00,"건별3,300",48분전
부산 남구,생각대로 불곰대연2호점,10:00~02:00,"건별3,300",48분전
부산 남구,생각대로 불곰대연2호점,10:00~02:00,"건별3,300",48분전
부산 북구,생각대로 구포1호점,10:00~02:00,"건별3,000",48분전
부산 북구,생각대로 구포1호점,10:00~02:00,"건별3,000",48분전
부산 북구,생각대로 구포1호점,10:00~02:00,"건별3,000",48분전
부산 남구,생각대로 불곰용호점,10:00~02:00,"건별3,000",48분전
부산 남구,생각대로 불곰용호점,10:00~02:00,"건별3,000",48분전
부산 남구,생각대로 불곰용호점,10:00~02:00,"건별3,000",48분전
부산 부산진,생각대로 불곰서면점,10:00~02:00,"건별3,000",48분전
부산 부산진,생각대로 불곰서면점,10:00~02:00,"건별3,000",48분전
부산 부산진,생각대로 불곰서면점,10:00~02:00,"건별3,000",48분전
부산 남구,생각대로 불곰대연점,10:00~02:00,"건별3,000",49분전
부산 남구,생각대로 불곰대연점,10:00~02:00,"건별3,000",49분전
부산 남구,생각대로 불곰대연점,10:00~02:00,"건별3,000",49분전
부산 동래구,생각대로 제트점,11:00~24:50,"시급15,000",49분전
부산 수영구,생각대로 불곰수영점,10:00~02:00,"시급20,000",49분전
부산 수영구,생각대로 불곰수영점,10:00~02:00,"일급150,000",49분전
부산 수영구,생각대로 불곰수영점,10:00~02:00,"일급150,000",49분전
