place,title,time,pay,date
서울 영등포,포베이kbs본관점,10:00~14:00,"시급9,000",40분전
충북 청주시,피시태그(PC TAG) 금천점,08:00~15:00,"시급8,590",40분전
전북 익산시,행복해(익산점),시간협의,"시급9,000",40분전
대구 달서구,생각대로용산점,시간협의,"월급3,500,000",40분전
경기 양평군,우리woori parking,08:00~18:00,"월급2,500,000",40분전
충북 전체,피씨태그（ＰＣＴＡＧ）,시간협의,"시급8,590",40분전
충남 전체,우리woori parking,08:00~18:00,"월급2,500,000",40분전
대전 중구,피엠푸드오류점,17:00~21:00,"시급8,590",40분전
경기 성남시,살롱드 마잘 헤어,10:00~18:00,"일급80,000",40분전
부산 사하구,디에이치컴퍼니,15:00~02:00,"월급2,600,000",2시간전
부산 사하구,디에이치컴퍼니,15:00~01:00,"월급2,600,000",2시간전
부산 사하구,디에이치컴퍼니,15:00~02:00,"월급2,600,000",2시간전
대구 달서구,생각대로용산점,10:00~24:00,"월급3,500,000",2시간전
대구 달서구,생각대로용산점,10:00~24:00,"월급3,500,000",2시간전
서울 전체,에이치(H)텔레콤,14:00~19:00,"시급8,590",2시간전
부산 사하구,용범이네인계동껍데기괴정점,15:00~01:00,"월급2,600,000",2시간전
대전 서구,도안직영점,10:00~20:00,"월급2,850,000",2시간전
대전 서구,도안직영점,10:00~20:00,"월급2,850,000",2시간전
대전 서구,도안직영점,10:00~20:00,"월급2,850,000",2시간전
경기 의정부,짚신매운갈비찜(민락점),19:30~00:00,"시급8,590",2시간전
경기 의정부,짚신매운갈비찜(민락점),19:30~00:00,"시급8,590",2시간전
경기 의정부,짚신매운갈비찜(민락점),19:30~00:00,"시급8,590",2시간전
서울 전체,에이치(H)텔레콤,14:00~19:00,"시급8,590",2시간전
대구 달서구,미츠팡,16:00~02:00,"시급8,590",2시간전
울산 남구,배달대행,11:00~00:00,"건별3,000",2시간전
경기 안산시,(주)비투이,시간협의,"시급10,000",2시간전
서울 용산구,Y brew,11:00~15:00,"시급8,600",2시간전
충북 청주시,이종구항아리짬뽕,09:00~21:00,"월급2,300,000",3시간전
경기 전체,24시 배달음식점,16:00~02:00,"월급2,400,000",3시간전
강원 강릉시,강릉유환식당,10:00~21:30,"월급2,400,000",3시간전
전북 전주시,다인촌,09:30~12:00,"시급8,590",3시간전
서울 전체,우리woori parking,10:00~21:00,"월급2,400,000",3시간전
경기 군포시,이에스 로지스틱스,07:00~13:30,"시급10,000",3시간전
서울 강북구,은사즉석떡볶이미아점,11:00~20:30,"시급8,590",4시간전
인천 전체,청라부동산친구 공인중개사 사무소,10:00~19:00,"연봉120,000,000",4시간전
전남 무안군,대동집 남악점,20:00~03:00,"시급9,000",4시간전
부산 전체,고귀한쌈,17:00~22:00,"시급8,590",4시간전
대구 북구,bhc연경점,17:30~22:00,"시급9,375",5시간전
서울 전체,와인브라더스 (WINE BROTHERS),14:00~21:00,"월급1,795,310",5시간전
경북 구미시,(주)씨에이치 구미봉곡지점,시간협의,"월급2,000,000",5시간전
서울 전체,큰맘할매순대국,11:00~14:00,"시급8,590",5시간전
서울 전체,큰맘할매순대국,11:00~14:00,"시급8,590",5시간전
서울 강남구,인기명 강남점,15:00~22:30,"월급2,000,000",5시간전
경기 전체,에르베 농업회사법인,10:00~17:00,"시급9,500",5시간전
서울 동대문,주)가평상사,07:00~10:30,"시급10,000",5시간전
대구 남구,피시박스(PC BOX),09:00~15:00,"시급8,590",5시간전
서울 강남구,인기명 강남점,15:00~22:30,"월급2,000,000",5시간전
대구 남구,99플레이트 레시피,09:00~04:00,"건별3,300",5시간전
부산 전체,브레드빈,05:00~22:30,"시급8,590",6시간전
부산 남구,유일한식탁,17:00~22:00,"시급8,590",6시간전
부산 남구,유일한식탁,10:00~15:30,"시급8,590",6시간전
경기 김포시,맛찬들3.5왕소금구이,18:00~23:00,"시급9,000",6시간전
경기 안산시,주식회사 비투이,13:00~17:00,"시급12,000",6시간전
경기 용인시,에르베 농업회사법인,10:00~17:00,"시급9,500",6시간전
전남 영광군,옥당정식,10:00~14:30,"시급8,590",6시간전
충북 청주시,대발이네,18:00~23:00,"시급8,590",6시간전
세종 종촌동,더리터메가시티점,12:30~08:30,"월급1,795,310",7시간전
제주 제주시,연한돈,16:00~00:00,"시급8,590",7시간전
부산 남구,유일한식탁,10:00~22:00,"월급2,100,000",7시간전
서울 서대문,신촌 엘스터디카페,10:30~22:30,"시급8,590",7시간전
경기 오산시,메가엠씨커피오산원동,08:50~13:20,"시급8,590",7시간전
광주 북구,피씨뱅크,시간협의,"시급8,590",7시간전
강원 강릉시,강릉유환식당,10:00~21:30,"월급2,400,000",7시간전
충남 전체,점핑몬스터 논산점,11:00~21:00,"시급8,590",8시간전
세종 나성동,곱창이야기 세종나성점,15:00~00:00,"월급2,300,000",8시간전
