place,title,time,pay,date
경기 부천시,CU 부천IC점,18:00~23:00,"시급8,590",1분전
대구 수성구,CU 신매타운점,00:00~08:00,"시급8,590",1분전
경기 광주시,CU 광주세광점,23:00~07:00,"시급8,590",1분전
경기 남양주,CU 다산헤리움그랑비스타,23:00~07:00,"시급8,590",2분전
강원 강릉시,CU 강릉교동바른점,20:00~24:00,"시급8,590",2분전
서울 강서구,CU 화곡일등점,23:00~09:00,"시급8,590",2분전
전남 여수시,CU 여수화장점,22:00~08:00,"시급8,590",2분전
전남 여수시,CU 여수화장점,22:00~08:00,"시급8,590",3분전
서울 서초구,CU 반포서래타운점,22:00~07:00,"시급8,600",3분전
경기 부천시,CU 사랑방점,17:00~23:00,"시급8,590",3분전
서울 관악구,CU 관악예술인점,23:00~09:00,"시급8,590",4분전
서울 중랑구,CU 중랑동일로점,23:00~06:00,"시급8,590",5분전
경기 수원시,CU 권선금강점,23:00~09:00,"시급8,590",6분전
서울 동작구,CU 상도삼성점,23:00~09:00,"시급8,590",6분전
경기 의정부,CU 의정부삼현점,23:00~06:30,"시급8,590",7분전
경남 김해시,CU 김해진영로드점,23:00~05:00,"시급8,590",8분전
인천 남동구,CU 간석4동점,16:00~23:00,"시급8,590",9분전
경북 경산시,CU 경산사동부영점,08:00~16:00,"시급8,590",9분전
경북 문경시,CU 문경모전천점,18:00~23:00,"시급8,590",9분전
경북 경산시,CU 경산사동부영점,08:00~16:00,"시급8,590",9분전
제주 제주시,CU 제주아모렉스리조트점,18:00~01:00,"시급8,590",10분전
서울 전체,CU 공릉마중점,16:00~23:00,"시급8,590",10분전
서울 서대문,CU 북가좌뉴욕점,13:00~19:30,"시급8,590",11분전
서울 강동구,CU 강풀만화거리점,23:00~06:00,"시급8,590",11분전
서울 강동구,CU 강풀만화거리점,23:00~06:00,"시급8,590",11분전
경기 고양시,CU 고양삼송18단지점,08:00~15:00,"시급8,590",11분전
경기 오산시,CU 오산잔다리마을점,08:00~16:00,"시급8,590",11분전
경북 포항시,CU 포항장성위브점,23:00~09:00,"시급8,590",11분전
인천 서구,CU 검단피오레점,01:00~08:00,"시급8,590",12분전
경기 광주시,CU 광주초월점,07:00~14:00,"시급8,590",12분전
울산 북구,CU 울산매곡월드점,20:00~24:00,"시급8,590",12분전
인천 연수구,CU 송도애니오션점,24:00~08:00,"시급8,590",13분전
경북 포항시,CU 포항장성위브점,23:00~09:00,"시급8,590",13분전
부산 수영구,CU 광안그린점,23:00~09:00,"시급8,590",14분전
부산 수영구,CU 광안그린점,23:00~09:00,"시급8,590",15분전
인천 계양구,CU 계양구청점,00:00~09:00,"시급8,590",15분전
경기 오산시,CU 신규점,22:00~08:00,"시급8,700",15분전
경북 구미시,CU 구미우미린점,24:00~07:00,"시급8,590",15분전
경남 창원시,CU 마산월영동아점,24:00~07:00,"시급8,600",15분전
서울 동작구,CU 신대방아너스빌점,00:00~07:00,"시급8,590",15분전
대구 전체,CU 계명대학교동산병원점,07:00~15:00,"시급8,590",15분전
경기 평택시,CU 평택배미에이스점,22:00~07:00,"시급8,590",16분전
대전 서구,CU 대전가수원계룡점,07:00~10:00,"시급8,590",16분전
경기 의정부,CU 의정부삼현점,23:00~06:30,"시급8,590",17분전
전북 익산시,CU 익산마이스터고점,24:00~07:00,"시급8,590",17분전
경기 평택시,CU 평택배미에이스점,16:00~22:00,"시급8,590",17분전
울산 남구,CU 울산신정행복점,00:00~08:00,"시급8,590",17분전
경기 성남시,CU 성남중앙프라자점,08:00~16:00,"시급8,590",20분전
경기 성남시,CU 성남중앙프라자점,23:00~09:00,"시급9,000",20분전
경기 안산시,CU 안산와동제일점,12:00~23:00,"시급8,590",21분전
충남 당진시,CU 당진원당점,시간협의,"시급8,590",21분전
울산 남구,CU 삼산엔젤점,23:00~08:00,"시급8,590",21분전
부산 수영구,CU 광안그린점,23:00~09:00,"시급8,590",23분전
경기 남양주,CU 진건용정공단점,05:50~10:50,"시급8,590",24분전
경기 화성시,CU 동탄베스트점,00:00~24:00,"시급8,590",24분전
경기 수원시,CU 도이치오토월드점,08:00~11:30,"시급8,590",24분전
인천 남동구,CU 논현유호점,23:00~05:00,"시급8,590",24분전
경기 김포시,CU 김포메트로자이2단지,23:00~08:00,"시급8,590",25분전
경기 안산시,CU 안산동명제일점,17:00~23:00,"시급8,590",26분전
경기 성남시,CU 성남시흥로드점,22:00~08:00,"시급8,590",27분전
경남 창원시,CU 창원반지중앙점,15:00~22:00,"시급8,590",27분전
경남 창원시,CU 창원반지중앙점,15:00~22:00,"시급8,590",27분전
서울 송파구,CU 문정파인타운점,23:30~09:00,"시급8,590",27분전
부산 사하구,CU 하단에덴점,15:00~22:00,"시급8,590",27분전
경남 창원시,CU 창원반지중앙점,15:00~22:00,"시급8,590",27분전
경기 시흥시,CU 은계한양수자인점,00:00~08:00,"시급8,590",27분전
경기 수원시,CU 광교e편한점,13:00~19:00,"시급8,590",27분전
경기 안산시,CU 안산와동제일점,12:00~23:00,"시급8,590",28분전
경남 고성군,CU 고성명성점,16:00~24:00,"시급8,590",29분전
경기 용인시,CU 기흥탑실점,09:00~16:00,"시급8,800",30분전
충남 계룡시,CU 계룡두마점,16:00~24:00,"시급8,590",31분전
경기 용인시,CU 용인덕성산단점,06:00~13:00,"시급8,600",32분전
대전 중구,CU 대전유천본점,16:00~24:00,"시급8,590",32분전
충북 청주시,CU 오송연제점,07:00~17:00,"시급8,590",32분전
경기 광주시,CU 곤지암목방마을점,23:00~09:00,"시급8,590",33분전
경기 용인시,CU 용인덕성산단점,06:00~13:00,"시급8,600",33분전
경북 경산시,CU 경산사동부영점,08:00~16:00,"시급8,590",33분전
서울 광진구,CU 뚝섬나들목점,22:00~08:00,"시급8,590",33분전
경기 군포시,CU 산본무궁화점,00:00~06:00,"시급8,590",33분전
경북 경산시,CU 경산사동부영점,08:00~16:00,"시급8,590",33분전
서울 서초구,CU 방배대로점,21:00~07:00,"시급8,590",34분전
경북 김천시,CU 부곡중앙로점,24:00~08:00,"일급50,000",34분전
대구 수성구,CU 대구만촌역점,08:00~16:00,"시급8,590",34분전
서울 서초구,CU 방배대로점,21:00~07:00,"시급8,590",34분전
제주 제주시,CU 제주아모렉스리조트점,18:00~01:00,"시급8,590",34분전
대전 중구,CU 대전유천본점,16:00~24:00,"시급8,590",35분전
서울 서초구,CU 방배효점,21:00~07:00,"시급8,590",35분전
