place,title,time,pay,date
경북 경산시,다이소 경산하양점,08:30~10:30,"시급8,590",45분전
충북 음성군,다이소 음성혁신도시점,09:00~15:00,"시급8,590",51분전
충남 서산시,다이소 서산본점,09:00~15:00,"시급8,590",53분전
충남 아산시,다이소 아산탕정점,09:00~15:00,"시급8,590",55분전
충남 천안시,다이소 천안불당점,09:00~15:00,"시급8,590",57분전
충남 천안시,다이소 천안불당2호점,09:00~15:00,"시급8,590",59분전
충북 청주시,다이소 홈플러스청주점,16:00~18:00,"시급8,590",1시간전
충남 천안시,다이소 천안청수지구점,09:00~15:00,"시급8,590",1시간전
충남 당진시,다이소 당진본점,09:00~22:00,"시급8,590",1시간전
세종 전체,다이소 세종첫마을점,09:00~15:00,"시급8,590",1시간전
충남 천안시,다이소 천안펜타포트점,09:00~15:00,"시급8,590",1시간전
경북 포항시,다이소 포항시외버스터미널점,09:30~20:00,"시급8,590",1시간전
울산 북구,다이소 울산신천점,09:00~22:30,"시급8,590",1시간전
울산 중구,다이소 울산성남점,09:00~22:30,"시급8,590",1시간전
경남 양산시,다이소 양산터미널점,16:40~22:30,"시급8,590",1시간전
경남 양산시,다이소 양산물금2호점,09:00~15:00,"시급8,590",1시간전
부산 기장군,다이소 부산기장본점,10:00~16:00,"시급8,590",1시간전
경북 경주시,다이소 경주본점,07:30~22:30,"월급1,795,310",1시간전
경북 문경시,다이소 문경모전점,08:00~22:30,"월급1,795,310",1시간전
대구 북구,다이소 대구대현점,09:00~23:30,"월급1,795,310",1시간전
경북 예천군,다이소 경북도청신도시점,09:00~22:30,"월급1,795,310",1시간전
대구 달성군,다이소 대구유가점,07:30~22:20,"월급1,795,310",1시간전
대구 달성군,대구테크노폴리스점,07:30~22:20,"월급1,795,310",1시간전
대구 동구,다이소 대구율하점,10:00~22:00,"시급8,590",1시간전
대구 달서구,다이소 대구상인네거리점,14:00~20:00,"시급8,590",1시간전
강원 삼척시,다이소 홈플러스삼척점,08:00~22:00,"시급8,590",1시간전
강원 속초시,다이소 속초본점,09:00~22:30,"월급1,795,310",1시간전
전국 전체,다이소 직영3현장CS팀,09:30~18:30,"월급2,095,310",1시간전
대구 남구,다이소 대구명덕네거리점,08:00~24:00,"월급1,795,310",2시간전
전국 전체,다이소 직영3현장CS팀,09:30~18:30,"월급2,095,310",2시간전
대구 달서구,다이소 대구감삼점,08:30~22:30,"월급1,795,310",2시간전
경북 경산시,다이소 경산하양점,16:00~22:00,"시급8,590",2시간전
대구 중구,다이소 대구반월당역점,10:00~22:00,"시급8,590",2시간전
강원 삼척시,다이소 홈플러스삼척점,08:00~22:00,"시급8,590",2시간전
강원 속초시,다이소 속초본점,09:00~22:30,"월급1,795,310",2시간전
경북 포항시,다이소 포항문덕본점,09:00~21:00,"시급8,590",2시간전
