place,title,time,pay,date
대구 수성구,롤링핀 대구 수성못점,12:00~15:00,"시급8,590",5분전
대구 달서구,롤링핀 대구 상인점,06:00~13:00,"월급2,000,000",2시간전
대구 수성구,롤링핀 대구 수성못점,12:00~15:00,"시급8,590",2시간전
경북 구미시,롤링핀  구미 강동점,06:30~15:30,"월급2,000,000",11/21
대구 수성구,롤링핀 대구 수성못점,12:00~15:00,"시급8,590",11/20
경북 구미시,롤링핀  구미 강동점,06:30~15:30,"월급2,000,000",11/19
서울 강남구,롤링핀 포스코사거리점,07:00~11:00,"시급8,600",11/14
서울 강남구,롤링핀 포스코사거리점,07:00~11:00,"시급8,600",11/14
서울 강남구,롤링핀 포스코사거리점,07:00~11:00,"시급8,600",11/14
경북 구미시,롤링핀  구미 강동점,06:30~15:30,"월급2,000,000",11/12
