place,title,time,pay,date
광주 서구,롯데리아 광주농성D/T점,01:00~10:00,"시급8,590",1분전
광주 서구,롯데리아 광주농성D/T점,01:00~10:00,"시급8,590",1분전
광주 서구,롯데리아 광주농성D/T점,23:30~07:30,"시급8,590",1분전
광주 서구,롯데리아 광주농성D/T점,23:30~07:30,"시급8,590",1분전
경기 군포시,롯데리아 금정역점,17:00~22:00,"시급8,590",8분전
경기 시흥시,롯데리아 시흥휴게소점,09:00~16:00,"시급8,590",12분전
경기 시흥시,롯데리아 시흥휴게소점,09:00~16:00,"시급8,590",12분전
경기 시흥시,롯데리아 시흥휴게소점,09:00~16:00,"시급8,590",12분전
경기 시흥시,롯데리아 시흥휴게소점,09:00~16:00,"시급8,590",12분전
경기 시흥시,롯데리아 시흥휴게소점,09:00~16:00,"시급8,590",12분전
경기 수원시,롯데리아 수원역사점,17:00~00:00,"시급8,590",13분전
경기 수원시,롯데리아 수원역사점,17:00~00:00,"시급8,590",13분전
충남 아산시,롯데리아 아산용화점,09:00~24:00,"시급8,590",15분전
인천 부평구,롯데리아 제물포점,09:00~23:00,"시급8,590",15분전
인천 서구,롯데리아 제물포점,09:00~23:00,"시급8,590",16분전
인천 동구,롯데리아 제물포점,09:00~23:00,"시급8,590",17분전
인천 미추홀,롯데리아 제물포점,09:00~23:00,"시급8,590",18분전
인천 미추홀,롯데리아 제물포점,09:00~23:00,"시급8,590",20분전
부산 전체,롯데리아 부산재송점,08:00~23:00,"월급2,000,000",23분전
인천 미추홀,롯데리아 인천도화점,09:00~23:00,"시급8,590",25분전
인천 미추홀,롯데리아 인천도화점,09:00~23:00,"시급8,590",25분전
인천 미추홀,롯데리아 인천도화점,09:00~23:00,"시급8,590",26분전
인천 동구,롯데리아 인천도화점,09:00~23:00,"시급8,590",26분전
충남 천안시,롯데리아 천안쌍용점,17:00~22:00,"시급8,590",26분전
인천 미추홀,롯데리아 인천도화점,09:00~23:00,"시급8,590",27분전
대구 달서구,롯데리아 대구상인점,09:00~08:00,"월급1,745,150",27분전
경기 광주시,롯데리아 광주태전점,09:00~23:00,"시급8,590",28분전
경기 남양주,롯데리아 별내신도시점,시간협의,"월급2,200,000",35분전
서울 강남구,롯데리아 학동역점,00:00~24:00,"시급8,590",39분전
서울 강남구,롯데리아 학동역점,00:00~24:00,"시급8,590",39분전
서울 강남구,롯데리아 학동역점,00:00~24:00,"시급8,590",39분전
서울 강남구,롯데리아 학동역점,00:00~24:00,"시급8,590",39분전
인천 강화군,롯데리아 인천강화점,10:00~17:00,"시급8,590",42분전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"시급8,590",45분전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"시급8,590",45분전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"시급8,590",45분전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"월급2,300,000",45분전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"월급2,300,000",45분전
서울 양천구,롯데리아 신곡시장점,17:00~22:30,"시급8,590",45분전
경기 남양주,롯데리아 별내신도시점,12:00~18:00,"시급8,590",46분전
광주 북구,롯데리아 광주신용점,09:00~18:00,"월급2,300,000",47분전
광주 북구,롯데리아 광주신용점,09:00~18:00,"시급8,590",47분전
광주 북구,롯데리아 광주신용점,09:00~18:00,"시급8,590",47분전
광주 북구,롯데리아 광주신용점,09:00~18:00,"월급2,300,000",47분전
광주 북구,롯데리아 광주신용점,09:00~18:00,"월급2,300,000",48분전
