place,title,time,pay,date
광주 서구,매드포갈릭 광주광천점,12:00~21:00,"시급10,310",29분전
서울 전체,매드포갈릭 삼성타운점,11:30~20:30,"시급10,310",34분전
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",50분전
서울 서초구,매드포갈릭 삼성타운점,12:00~21:00,"시급10,310",58분전
경기 의정부,(주)MFG 코리아 매드포갈릭 의정부,12:30~21:30,"시급10,310",1시간전
경기 고양시,엠에프지코리아 매드포갈릭 일산웨스턴돔,12:00~21:00,"시급10,310",1시간전
대전 서구,매드포갈릭 대전둔산점,12:00~21:00,"시급10,310",3시간전
울산 남구,매드포갈릭 울산현대백화점,18:00~21:30,"시급8,590",3시간전
인천 연수구,매드포갈릭 송도점,15:30~21:00,"시급10,310",3시간전
광주 서구,매드포갈릭 광주광천점,12:30~22:00,"시급10,310",4시간전
부산 해운대,매드포갈릭 해운대점,13:00~21:30,"시급10,310",5시간전
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",5시간전
서울 광진구,매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",5시간전
서울 금천구,엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",5시간전
울산 전체,매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",6시간전
서울 강서구,매드포갈릭 발산점,12:00~21:00,"시급10,310",6시간전
서울 강서구,매드포갈릭 발산점,12:00~21:00,"시급10,310",6시간전
서울 금천구,엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",7시간전
경기 평택시,매드포갈릭 평택AK플라자점,11:30~20:30,"시급10,310",7시간전
경기 성남시,매드포갈릭 분당서현점,12:00~21:00,"시급10,310",7시간전
서울 금천구,엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",7시간전
서울 전체,(주)엠에프지코리아 매드포갈릭 잠원점,12:30~21:30,"시급10,310",7시간전
서울 전체,(주)엠에프지코리아 매드포갈릭 잠원점,12:30~21:30,"시급10,310",7시간전
서울 광진구,매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",8시간전
서울 강서구,매드포갈릭 발산점,12:00~21:00,"시급10,310",14시간전
경기 평택시,매드포갈릭 평택AK플라자점,11:30~20:30,"시급10,310",22시간전
서울 마포구,주식회사 엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,310",23시간전
울산 전체,매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",11/22
대전 서구,매드포갈릭 대전둔산점,18:00~21:00,"시급10,310",11/22
광주 서구,매드포갈릭 광주광천점,12:30~22:00,"시급10,310",11/22
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",11/22
경기 고양시,엠에프지코리아 매드포갈릭 일산웨스턴돔,12:00~21:00,"시급10,310",11/22
서울 금천구,엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",11/22
서울 마포구,매드포갈릭 상암MBC점,09:00~21:30,"시급10,310",11/22
경기 수원시,매드포갈릭 수원인계점,12:00~21:00,"시급10,310",11/21
경기 평택시,매드포갈릭 평택AK플라자점,11:30~20:30,"시급10,310",11/21
광주 서구,매드포갈릭 광주광천점,12:30~22:00,"시급10,310",11/21
서울 서초구,매드포갈릭 예술의 전당점,11:30~20:30,"시급10,310",11/21
서울 광진구,매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",11/21
부산 해운대,매드포갈릭 해운대점,13:00~21:30,"시급10,310",11/21
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",11/21
서울 양천구,매드포갈릭 목동점,18:00~21:00,"시급10,310",11/21
울산 전체,매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",11/21
인천 연수구,매드포갈릭 송도점,15:30~21:00,"시급10,310",11/21
서울 강남구,매드포갈릭 도곡점,12:00~21:00,"시급10,310",11/21
서울 마포구,주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,310",11/20
울산 전체,매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",11/20
서울 중구,매드포갈릭 센터원점,11:00~20:00,"시급10,310",11/20
부산 해운대,매드포갈릭 해운대점,시간협의,"시급10,310",11/20
서울 강남구,매드포갈릭 도곡점,12:00~21:00,"시급10,310",11/20
서울 전체,매드포갈릭 삼성타운점,11:30~20:30,"시급10,310",11/19
서울 광진구,매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",11/19
인천 연수구,매드포갈릭 송도점,12:00~21:00,"시급10,310",11/19
서울 금천구,엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",11/19
서울 강남구,매드포갈릭 도곡점,12:00~21:00,"시급10,310",11/19
경기 안양시,매드포갈릭 안양범계점,18:00~21:30,"시급10,310",11/18
경기 성남시,판교 라스트리트점,12:00~21:00,"시급10,310",11/18
경기 평택시,매드포갈릭 평택AK플라자점,11:30~20:30,"시급10,310",11/18
경기 고양시,엠에프지코리아 매드포갈릭 일산웨스턴돔,12:00~21:00,"시급10,310",11/18
인천 연수구,매드포갈릭 송도점,12:00~21:00,"시급10,310",11/18
서울 강남구,매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,310",11/18
서울 마포구,매드포갈릭 합정점,12:00~21:00,"시급10,310",11/15
서울 중구,매드포갈릭 센터원점,11:00~20:00,"시급10,310",11/14
서울 마포구,매드포갈릭 합정점,12:00~21:00,"시급10,310",11/14
서울 마포구,매드포갈릭 합정점,12:00~21:00,"시급10,310",11/13
서울 중구,매드포갈릭 센터원점,11:00~20:00,"시급10,310",11/12
