place,title,time,pay,date
경기 김포시,더본코리아 홍콩반점0410 김포장기쌍,10:00~16:00,"시급9,000",5분전
대구 동구,더본코리아 홍콩반점0410 대구신서혁,19:30~22:00,"시급8,600",6분전
경기 김포시,더본코리아 홍콩반점0410 김포장기쌍,10:00~16:00,"시급9,000",6분전
경기 시흥시,더본코리아 롤링파스타 시흥은계점,10:00~22:00,"시급9,000",6분전
경기 김포시,더본코리아 홍콩반점0410 김포사우점,17:00~21:00,"시급8,600",7분전
충북 청주시,홍콩반점0410 충북대중문점,10:30~21:30,"월급2,350,000",9분전
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",10분전
경남 진주시,더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",10분전
경기 시흥시,더본코리아 롤링파스타 시흥은계점,10:00~22:00,"월급2,600,000",10분전
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",10분전
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",10분전
경남 진주시,더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",10분전
경남 진주시,더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",11분전
경남 진주시,더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",12분전
경남 진주시,더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",12분전
서울 광진구,더본코리아 리춘시장 건대지점,19:00~24:00,"시급8,700",13분전
광주 광산구,더본코리아 새마을식당 광주수완점,17:00~03:00,"시급8,600",14분전
인천 부평구,더본코리아 역전우동 부평로데오점,10:00~22:00,"월급2,600,000",14분전
부산 해운대,더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",17분전
부산 해운대,더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",17분전
부산 해운대,더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",17분전
부산 해운대,더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",17분전
부산 해운대,더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",17분전
서울 강서구,역전우동0410 화곡역점,22:00~09:00,"월급2,400,000",17분전
서울 강서구,역전우동0410 화곡역점,12:00~22:00,"월급2,100,000",17분전
경남 창원시,홍콩반점0410 창원메트로시티점,10:30~15:30,"시급8,590",18분전
경남 창원시,홍콩반점0410 창원메트로시티점,16:30~22:00,"시급8,590",20분전
경기 부천시,더본코리아 리춘시장 부천중동점,17:00~03:00,"월급2,400,000",26분전
전남 순천시,롤링파스타 순천연향점,10:00~22:00,"월급2,600,000",26분전
전북 전주시,롤링파스타 전주객사점,10:00~21:30,"월급2,300,000",27분전
충북 충주시,더본코리아 한신포차 충주신연수점,17:30~05:30,"월급2,200,000",30분전
충북 충주시,더본코리아 한신포차 충주신연수점,17:30~05:30,"월급2,200,000",31분전
경기 안산시,더본코리아 롤링파스타 안산중앙점,10:00~22:00,"월급2,600,000",32분전
경남 김해시,더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",33분전
경남 양산시,홍콩반점0410 양산역점,10:00~22:00,"월급2,400,000",33분전
서울 마포구,더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,600,000",35분전
서울 광진구,더본코리아 홍콩반점0410 건대입구역,10:00~22:00,"월급2,800,000",36분전
경기 시흥시,더본코리아 한신포차 시흥대야점,23:00~07:00,"시급8,800",37분전
인천 서구,역전우동0410 인천청라점,11:00~14:00,"시급8,590",38분전
인천 서구,더본코리아 홍콩반점0410 인천청라점,21:00~05:00,"시급8,590",39분전
광주 광산구,더본코리아 새마을식당 광주수완점,17:00~03:00,"시급8,600",39분전
충북 청주시,홍콩반점0410 충북대중문점,10:30~21:30,"월급2,350,000",43분전
인천 서구,더본코리아 홍콩반점0410 인천청라점,21:00~05:00,"시급8,590",43분전
서울 강서구,홍콩반점0410 방화사거리점,10:30~10:00,"시급9,000",44분전
인천 서구,더본코리아 홍콩반점0410 인천청라점,21:00~05:00,"시급8,590",44분전
서울 강서구,홍콩반점0410 방화사거리점,10:30~10:00,"시급9,000",45분전
서울 강서구,홍콩반점0410 방화사거리점,10:30~10:00,"시급9,000",45분전
