place,title,time,pay,date
대구 달서구,써브웨이 대구계대동문점,08:30~13:00,"시급8,590",11분전
울산 중구,써브웨이 성남점,09:00~14:00,"시급8,590",32분전
울산 남구,써브웨이 울산 달동점,18:00~22:30,"시급8,590",34분전
경남 김해시,써브웨이김해내동점,16:00~20:00,"시급8,590",44분전
경기 성남시,써브웨이 오리역점,18:00~22:30,"시급8,590",53분전
서울 중구,써브웨이 약수역점,07:30~14:00,"시급8,600",1시간전
서울 종로구,써브웨이 약수역점,07:30~14:00,"시급8,600",1시간전
서울 중구,써브웨이 신당역점,11:00~14:00,"시급10,350",1시간전
서울 노원구,서브웨이 노원점,07:30~14:00,"시급9,000",1시간전
경남 거제시,써브웨이 거제고현점,시간협의,"시급8,590",1시간전
부산 사하구,써브웨이 동아대점,08:00~14:00,"시급8,590",1시간전
서울 관악구,서브웨이 신림역점,15:00~22:30,"시급8,590",1시간전
충남 천안시,써브웨이 두정점,07:40~16:00,"월급2,400,000",1시간전
경기 성남시,써브웨이 단대오거리점,17:30~22:30,"시급8,590",1시간전
부산 해운대,서브웨이반여점,17:00~22:30,"시급8,590",1시간전
경기 성남시,써브웨이 오리역점,18:00~22:30,"시급8,590",2시간전
서울 성동구,써브웨이 성수역점,16:00~23:00,"시급8,590",2시간전
서울 송파구,써브웨이 잠실새내역점,08:00~15:00,"시급8,800",2시간전
경남 김해시,써브웨이 진영점,08:00~15:00,"시급8,590",2시간전
서울 관악구,서브웨이 신림역점,15:00~22:30,"시급8,590",2시간전
경기 수원시,써브웨이 광교경기대후문점,19:00~22:00,"시급8,590",2시간전
울산 남구,써브웨이 울산삼산점,08:30~14:00,"시급8,590",3시간전
경기 전체,써브웨이 미금역점,17:30~22:20,"시급8,590",3시간전
경남 양산시,써브웨이 남양산점,11:30~18:30,"월급1,472,900",3시간전
서울 마포구,써브웨이 홍대점,09:00~16:00,"시급8,800",3시간전
서울 강남구,써브웨이,16:00~22:30,"시급8,590",3시간전
서울 강남구,서브웨이 역삼초교점,11:00~17:00,"시급8,590",4시간전
부산 금정구,써브웨이 부산대점,09:00~13:00,"시급8,590",4시간전
서울 마포구,써브웨이망원점,15:20~22:50,"시급8,590",4시간전
서울 마포구,써브웨이망원점,17:50~22:50,"시급8,590",4시간전
경기 전체,써브웨이 미금역점,17:30~22:20,"시급8,590",4시간전
부산 부산진,써브웨이 부산서면동천로점,00:00~24:00,"월급2,000,000",4시간전
경남 거제시,써브웨이 거제아주점,15:00~22:00,"시급8,590",4시간전
울산 동구,서브웨이울산일산점,08:20~15:30,"시급8,590",4시간전
