place,title,time,pay,date
서울 은평구,아소비 은평서대문지사,14:00~19:00,"월급2,000,000",28분전
전북 군산시,아소비 전북지사,14:00~18:00,"월급1,700,000",29분전
서울 은평구,아소비 은평서대문지사,13:00~18:00,"월급2,000,000",32분전
전북 익산시,아소비 전북지사,14:00~18:00,"월급1,700,000",33분전
서울 은평구,아소비 은평서대문지사,14:00~19:00,"월급2,000,000",33분전
서울 은평구,아소비 은평서대문지사,14:00~19:00,"월급2,000,000",34분전
전북 익산시,아소비 전북지사,14:00~18:00,"월급1,700,000",35분전
서울 서대문,아소비 은평서대문지사,14:00~19:00,"월급1,800,000",35분전
전북 전주시,아소비 전북지사,14:00~18:00,"월급1,700,000",45분전
전북 전주시,아소비 전북지사,14:00~18:00,"월급1,700,000",48분전
경기 평택시,아소비 평택안성지사,14:00~18:00,"월급2,000,000",52분전
경기 안성시,아소비 평택안성지사,14:00~18:00,"월급2,000,000",53분전
경기 평택시,아소비 평택안성지사,14:00~18:00,"월급2,000,000",53분전
경기 평택시,아소비 평택안성지사,14:00~18:00,"월급2,000,000",53분전
경기 평택시,아소비 평택안성지사,14:00~18:00,"월급2,000,000",54분전
경기 의정부,아소비 의정부양주지사,14:00~18:00,"월급2,000,000",1시간전
경기 양주시,아소비 의정부양주지사,14:00~18:00,"월급2,000,000",1시간전
경기 양주시,아소비 의정부양주지사,14:00~18:00,"월급2,000,000",1시간전
경기 양주시,아소비 의정부양주지사,14:00~18:00,"월급2,000,000",1시간전
경기 양주시,아소비 의정부양주지사,14:00~18:00,"월급2,000,000",1시간전
경기 안양시,아소비 안양과천지사,14:00~18:00,"월급2,000,000",1시간전
경기 안양시,아소비 안양과천지사,14:00~18:00,"월급2,000,000",2시간전
경기 안양시,아소비 안양과천지사,14:00~18:00,"월급2,000,000",2시간전
경기 안양시,아소비 안양과천지사,14:00~18:00,"월급2,000,000",2시간전
경기 의왕시,아소비 군포의왕지사,14:00~18:00,"월급2,000,000",2시간전
경기 군포시,아소비 군포의왕지사,14:00~18:00,"월급2,000,000",2시간전
경기 의왕시,아소비 군포의왕지사,14:00~18:00,"월급2,000,000",2시간전
경기 군포시,아소비 군포의왕지사,14:00~18:00,"월급3,000,000",2시간전
경기 과천시,아소비 안양과천지사,14:00~18:00,"월급2,000,000",2시간전
경기 의왕시,아소비 군포의왕지사,14:00~18:00,"월급2,000,000",2시간전
