place,title,time,pay,date
부산 금정구,역전할머니맥주  부산 부산대점,22:00~05:00,"시급8,590",30분전
부산 금정구,역전할머니맥주  부산 부산대점,22:00~05:00,"시급8,590",30분전
부산 금정구,역전할머니맥주  부산 부산대점,22:00~05:00,"시급8,590",34분전
서울 금천구,역전할머니맥주  서울 가산점,시간협의,"시급8,600",49분전
서울 금천구,역전할머니맥주  서울 가산점,19:00~24:00,"시급9,000",1시간전
인천 남동구,역전할머니맥주  인천 구월아시아드점,20:00~04:00,"시급8,600",2시간전
서울 강북구,역전할머니맥주  서울 미아사거리점,17:00~05:00,"월급2,700,000",2시간전
울산 전체,역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",3시간전
서울 강북구,역전할머니맥주  서울 미아사거리점,17:00~05:00,"월급2,700,000",3시간전
경기 고양시,역전할머니맥주 고양 원당점,20:00~03:00,"시급9,000",3시간전
경기 고양시,역전할머니맥주 고양 원당점,20:00~03:00,"시급9,000",3시간전
부산 부산진,역전할머니맥주  부산 당감점,21:30~03:30,"시급9,500",3시간전
경북 구미시,역전할머니맥주  구미 송정점,18:00~03:00,"시급8,700",3시간전
부산 부산진,역전할머니맥주  부산 서면점,17:00~04:00,"월급2,700,000",3시간전
경기 성남시,역전할머니맥주  분당 야탑점,시간협의,"시급10,000",4시간전
충남 금산군,역전할머니맥주  충남 금산점,21:00~00:00,"시급9,500",4시간전
경북 상주시,역전할머니맥주  상주 무양점,20:00~03:00,"시급8,600",4시간전
경북 상주시,역전할머니맥주  상주 무양점,20:00~03:00,"월급1,350,000",4시간전
경북 상주시,역전할머니맥주  상주 무양점,20:00~03:00,"월급1,350,000",4시간전
경기 평택시,역전할머니맥주  평택 고덕점,04:00~03:00,"월급2,500,000",5시간전
경기 평택시,역전할머니맥주  평택 고덕점,22:00~02:00,"시급9,000",5시간전
인천 부평구,역전할머니맥주  인천 동암점,16:00~04:00,"월급2,600,000",5시간전
충남 보령시,역전할머니맥주  보령 동대점,20:00~03:00,"시급9,500",5시간전
경남 창원시,역전할머니맥주  창원 상남점,19:00~05:00,"시급9,000",5시간전
경기 고양시,역전할머니맥주  일산 탄현점,19:00~05:00,"월급2,200,000",6시간전
울산 동구,역전할머니맥주  울산 전하점,18:00~03:00,"시급8,800",7시간전
울산 북구,역전할머니맥주  울산 화봉점,시간협의,"시급9,000",8시간전
울산 북구,역전할머니맥주  울산 화봉점,시간협의,"시급9,000",8시간전
울산 북구,역전할머니맥주  울산 매곡점,17:00~03:00,"월급1,900,000",12시간전
울산 북구,역전할머니맥주  울산 매곡점,17:00~03:00,"월급1,900,000",13시간전
광주 남구,역전할머니맥주 광주 봉선점,19:00~03:00,"시급9,000",20시간전
서울 동작구,역전할머니맥주  서울 노량진점,16:00~04:00,"월급2,600,000",20시간전
서울 동작구,역전할머니맥주  서울 노량진점,18:00~02:00,"시급9,000",20시간전
경기 수원시,역전할머니맥주  수원 탑동점,21:00~24:00,"시급9,000",21시간전
경기 고양시,역전할머니맥주  일산 탄현점,19:00~05:00,"월급2,200,000",21시간전
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",22시간전
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",22시간전
울산 전체,역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",22시간전
대구 달서구,역전할머니맥주  대구 대곡점,17:00~03:00,"월급2,000,000",22시간전
경기 고양시,역전할머니맥주  일산 백석점,시간협의,"시급8,590",11/22
경기 평택시,역전할머니맥주  평택 평택역점,20:00~12:00,"시급9,500",11/22
경기 용인시,역전할머니맥주  용인 에버랜드점,21:00~23:00,"시급9,000",11/22
강원 춘천시,역전할머니맥주  춘천 강원대점,시간협의,"시급8,800",11/21
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",11/21
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",11/21
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",11/21
경북 예천군,역전할머니맥주  경북 도청점,20:00~03:00,"시급8,800",11/21
서울 광진구,역전할머니맥주  서울 구의점,22:00~04:00,"시급9,000",11/21
경기 용인시,역전할머니맥주 용인 보정점,17:00~02:00,"시급9,500",11/21
대구 달서구,역전할머니맥주  대구 용산점,05:00~03:00,"월급2,300,000",11/21
경기 성남시,역전할머니맥주  분당 야탑점,시간협의,"시급10,000",11/21
경기 성남시,역전할머니맥주  분당 야탑점,시간협의,"시급10,000",11/21
서울 강동구,역전할머니맥주  서울 둔촌점,20:00~03:00,"시급9,000",11/21
충남 보령시,역전할머니맥주  보령 동대점,20:00~03:00,"시급9,500",11/21
경기 고양시,역전할머니맥주  일산 탄현점,19:00~05:00,"월급2,200,000",11/20
전북 전주시,역전할머니맥주  전주 전북대점,19:00~04:00,"월급2,100,000",11/20
경기 의정부,역전할머니맥주  의정부 중앙점,20:00~03:00,"시급8,700",11/20
경기 의정부,역전할머니맥주  의정부 중앙점,20:00~03:00,"시급8,700",11/20
전북 군산시,역전할머니맥주  군산 미장점,20:00~02:00,"시급9,000",11/20
경남 창원시,역전할머니맥주  진해 석동점,21:00~05:00,"시급9,000",11/20
부산 중구,역전할머니맥주  부산 남포점,24:00~05:00,"시급9,000",11/20
서울 강북구,역전할머니맥주  서울 미아사거리점,17:00~05:00,"월급2,600,000",11/20
서울 구로구,역전할머니맥주  구로디지털단지점,17:00~05:00,"월급2,600,000",11/20
경북 상주시,역전할머니맥주  상주 무양점,20:00~03:00,"시급8,600",11/19
경기 시흥시,역전할머니맥주  시흥 대야점,20:00~02:00,"시급9,000",11/19
경북 구미시,역전할머니맥주  구미 상모점,20:00~24:00,"시급8,590",11/19
경기 고양시,역전할머니맥주  일산 탄현점,19:00~05:00,"월급2,200,000",11/19
충북 청주시,역전할머니맥주  청주 강서지구점,17:00~03:00,"월급2,000,000",11/19
울산 북구,역전할머니맥주  울산 매곡점,24:00~03:00,"일급8,590",11/18
경북 구미시,역전할머니맥주  구미 신평점,20:00~02:00,"시급10,310",11/18
울산 전체,역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",11/18
전북 익산시,역전할머니맥주  익산 모현점,14:00~05:00,"시급9,000",11/18
경북 구미시,역전할머니맥주  구미 옥계점,18:00~05:00,"월급2,400,000",11/17
서울 강북구,역전할머니맥주  서울 미아사거리점,17:00~05:00,"월급2,600,000",11/17
서울 강북구,역전할머니맥주  서울 미아사거리점,17:00~05:00,"월급2,600,000",11/17
서울 광진구,역전할머니맥주 서울 성수역점,시간협의,"시급11,000",11/17
충남 논산시,역전할머니맥주  논산 취암점,19:00~01:00,"시급8,590",11/16
경기 의정부,역전할머니맥주  의정부 중앙점,20:00~03:00,"시급8,700",11/16
경기 의정부,역전할머니맥주  의정부 중앙점,20:00~03:00,"시급8,700",11/16
충북 청주시,역전할머니맥주  청주 강서지구점,17:00~03:00,"월급2,000,000",11/16
인천 중구,역전할머니맥주  동인천역점,17:00~05:00,"월급2,500,000",11/16
인천 중구,역전할머니맥주  동인천역점,17:00~05:00,"월급2,500,000",11/16
인천 서구,역전할머니맥주  인천 당하점,16:30~02:30,"월급1,900,000",11/15
경북 구미시,역전할머니맥주  구미원평점,18:00~02:00,"시급8,600",11/15
부산 강서구,역전할머니맥주 부산 명지포스코점,시간협의,"시급8,590",11/15
경기 안산시,역전할머니맥주  안산 상록수점,18:00~04:00,"월급2,400,000",11/15
경기 성남시,역전할머니맥주  분당 야탑점,시간협의,"시급10,000",11/15
경기 성남시,역전할머니맥주  분당 서현점,17:00~03:30,"시급10,308",11/15
울산 북구,역전할머니맥주  울산 송정점,19:00~02:00,"시급8,590",11/15
전남 순천시,역전할머니맥주  순천 조례점,20:00~06:00,"시급9,000",11/14
대전 대덕구,역전할머니맥주 대전 신탄진점,20:00~04:00,"시급9,000",11/14
충북 충주시,역전할머니맥주  충주 호암점,12:00~20:00,"시급8,590",11/14
전남 여수시,역전할머니맥주  여수 덕충점,20:00~24:00,"시급9,000",11/13
충남 천안시,역전할머니맥주  천안 법원점,18:00~02:00,"월급2,000,000",11/13
서울 광진구,역전할머니맥주  서울 구의점,18:00~24:00,"시급9,000",11/13
충남 금산군,역전할머니맥주  충남 금산점,21:00~00:00,"시급9,500",11/12
전북 전체,역전할머니맥주  전주 인후점,08:00~01:00,"시급9,000",11/12
인천 부평구,역전할머니맥주  인천 동암점,16:00~04:00,"월급2,600,000",11/12
경북 김천시,역전할머니맥주  김천혁신점,17:00~03:00,"시급9,000",11/12
경북 구미시,역전할머니맥주  구미 옥계점,20:00~23:00,"시급8,590",11/12
인천 전체,역전할머니맥주  인천 부평역점,18:00~24:00,"시급9,000",11/11
경기 화성시,역전할머니맥주 화성 향남2지구점,18:00~00:00,"시급9,000",11/11
경기 화성시,역전할머니맥주 화성 향남2지구점,18:00~00:00,"시급9,000",11/11
충북 청주시,역전할머니맥주  청주 강서지구점,17:00~03:00,"월급2,000,000",11/10
경기 성남시,역전할머니맥주  분당 미금점,07:00~02:00,"시급9,000",11/10
경기 성남시,역전할머니맥주  분당 미금점,07:00~02:00,"시급8,800",11/10
경기 안성시,역전할머니맥주  안성 공도점,20:00~24:00,"시급9,000",11/10
광주 광산구,역전할머니맥주  광주 호남대점,17:00~03:00,"월급2,300,000",11/10
광주 광산구,역전할머니맥주  광주 호남대점,17:00~03:00,"월급2,300,000",11/10
인천 전체,역전할머니맥주  인천 부평역점,19:00~24:00,"시급8,590",11/10
인천 전체,역전할머니맥주  인천 부평역점,19:00~06:00,"월급2,500,000",11/10
울산 북구,역전할머니맥주  울산 화봉점,시간협의,"시급9,000",11/09
경기 화성시,역전할머니맥주 화성 향남2지구점,18:00~00:00,"시급9,000",11/09
경기 고양시,역전할머니맥주  경기 고양동점,시간협의,"시급10,000",11/09
대구 달서구,역전할머니맥주  대구 상인점,19:00~03:00,"시급8,700",11/09
경북 구미시,역전할머니맥주  구미 상모점,20:00~24:00,"시급8,590",11/09
경남 김해시,역전할머니맥주  김해 진영점,18:00~02:00,"시급9,500",11/09
인천 서구,역전할머니맥주  인천 석남점,16:30~05:00,"월급3,000,000",11/09
부산 중구,역전할머니맥주  부산 남포점,24:00~05:00,"시급9,000",11/09
부산 해운대,역전할머니맥주  부산 반여점,19:00~24:00,"시급8,590",11/08
전남 목포시,역전할머니맥주  목포 평화광장점,시간협의,"시급8,590",11/07
경기 광주시,역전할머니맥주  경기광주 경안점,00:00~24:00,"월급2,100,000",11/07
경북 구미시,역전할머니맥주  구미 인동점,17:00~03:00,"시급8,800",11/07
경기 고양시,역전할머니맥주  일산 백석점,20:00~02:00,"시급8,590",11/07
